fioriId,RoleName,AppName,ApplicationType,UITechnology,BSPName,BSPApplicationURL,SAPUI5ComponentId,PrimaryODataServiceName,PrimaryODataServiceVersion,AdditionalODataServices,AdditionalODataServicesVersions,OData V4 Service Group,Link,
F0029,Internal Sales Representative,Sales Order Fulfillment Issues,Transactional,SAP Fiori (SAPUI5),SOFULFIL_MONS1,/sap/bc/ui5_ui5/sap/sofulfil_mons1,cus.sd.sofulfil.monitor.s1,SD_SOFM_SRV,0001,"LORD_ODATA_ORDER_SRV, SD_SOFM_CREDIT_BLOCK_SRV, SD_SOFM_DELIVERY_SRV_01, SD_SOFM_INVOICE_SRV","0001, 0001, 0001, 0001",,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0029
F0029A,Internal Sales Representative,Sales Order Fulfillment Issues (Version 2),"Transactional, Analytical",SAP Fiori elements,SOFULFIL_S1,/sap/bc/ui5_ui5/sap/sofulfil_s1,cus.sd.sofulfil.analyzes1,SD_SOFI,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0029A
F0046A,Master Data Specialist - Business Partner Data,Customer Master FactSheets,Fact sheet,SAP Fiori elements,MD_CUSTOMEROPS1,/sap/bc/ui5_ui5/sap/md_customerops1,mdm.cmd.customer.op,C_CUSTOMER_OP_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0046A
F0106,Accounts Receivable Accountant,Process Receivables,Transactional,SAP Fiori (SAPUI5),FIN_PROCRECEIVE,/sap/bc/ui5_ui5/sap/fin_procreceive,fin.ar.customerinvoicelist,FDMO_PROCESS_RECEIVABLES_SRV,0001,FAR_CORRESPONDENCE_HISTORY_SRV,0001,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0106
F0106A,Accounts Receivable Accountant,Process Receivables (Version 2),Transactional,SAP Fiori elements,FIN_RECEIVABLES,/sap/bc/ui5_ui5/sap/fin_receivables,fin.ar.process.receivables,UI_PROCESSRECEIVABLES_MAN,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0106A
F0217,Manager - Finance Info,Track Supplier Invoices,Transactional,SAP Fiori (SAPUI5),FIN_MYVENDORINV,/sap/bc/ui5_ui5/sap/fin_myvendorinv,fin.ap.myvendorinvoices,FAP_MYVENDORINVOICES,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0217
F0232A,Receiving Specialist,Inbound Delivery (S/4HANA),Fact sheet,SAP Fiori elements,LE_SHP_OP_IBDS1,/sap/bc/ui5_ui5/sap/le_shp_op_ibds1,i2d.le.delivery.op.ibdlv,LE_SHP_INBOUND_DELIVERY_OBJPG_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0232A
F0233A,Shipping Specialist,Outbound Delivery (S/4HANA),Fact sheet,SAP Fiori elements,LE_SHP_OP_OBDS1,/sap/bc/ui5_ui5/sap/le_shp_op_obds1,i2d.le.delivery.op.obdlv,LE_SHP_OUTBOUND_DELIVERY_FS,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0233A
F0234A,Shipping Specialist,Returns Delivery (S/4HANA),Fact sheet,SAP Fiori elements,LE_SHP_OP_RETS1,/sap/bc/ui5_ui5/sap/le_shp_op_rets1,i2d.le.delivery.op.retdlv,LE_SHP_RETURNS_DELIVERY_FS_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0234A
F0246,Production Planner,Monitor External Requirements,Transactional,SAP Fiori (SAPUI5),PP_UNCOVSO_MRS1,/sap/bc/ui5_ui5/sap/pp_uncovso_mrs1,i2d.pp.uncoveredso.monitor.s1,PP_MRP_COCKPIT_SRV,0001,,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F0246
